year	month	day	34.5	190	1500	1040
2003	5	1	14.5	13.5	3	12.5
2003	5	2	24	19	15	11.5
2003	5	3	25	22.5	17	11
2003	5	4	26	24.5	22	14
2003	5	5	28	28.5	22	16
2003	5	6	28.5	26.5	20	17.5
2003	5	7	20	18	12	15
2003	5	8	19	14.6	12	16
2003	5	9	22.5	22.5	16	15.5
2003	5	10	26	26	20	14
2003	5	11	26	22.5	17	18.5
2003	5	12	26.5	25	16	21
2003	5	13	27.5	26.5	18	22.5
2003	5	14	28	27.5	22	23
2003	5	15	28.5	27.5	22	24.5
2003	5	16	30.5	30	26	26
2003	5	17	28.5	25	26	28.5
2003	5	18	29	26.5	20	26.5
2003	5	19	28	26	22	27.5
2003	5	20	30.5	29	22	26
2003	5	21	31.5	29.5	22	27.5
2003	5	22	31.5	30	28	27.5
2003	5	23	29.5	29	25	28
2003	5	24	22	21	15	31
2003	5	25	24.5	21.5	13	29
2003	5	26	27.5	26	15	23
2003	5	27	33.5	30	22	34
2003	5	28	30	29	20	28
2003	5	29	27	26	20	28
2003	5	30	34	30	26	26
2003	5	31	37.5	34	25	31.5
2003	6	1	34	31	25	33
2003	6	2	33	30	26	33
2003	6	3	31	29	26	35
2003	6	4	33	30.5	24.5	32
2003	6	5	31	28	27	32.5
2003	6	6	25.2	26	16	32
2003	6	7	30	26	17.5	33
2003	6	8	33.5	30	22	34
2003	6	9	33.5	30	26	33
2003	6	10	29.5	26	20	33
2003	6	11	31.5	30	20	33
2003	6	12	35	31.5	25	32.5
2003	6	13	34.5	35	30	35
2003	6	14	32	30	20	28.5
2003	6	15	29.5	28.5	20	25
2003	6	16	30	34	25	29
2003	6	17	35	34	30	29
2003	6	18	35	34	30	35
2003	6	19	27.5	26	17	31
2003	6	20	27	23.5	16	30
2003	6	21	28	26.5	18	25
2003	6	22	32.5	31	30	35
2003	6	23	29.5	28	22	28.5
2003	6	24	27	24.5	22	26
2003	6	25	25.5	23	13.2	21
2003	6	26	31.5	26.5	22	27
2003	6	27	31.5	30	25	28
2003	6	28	35.5	34.5	25	28.5
2003	6	29	34.5	34.5	26	27
2003	6	30	30	26	20	23
2003	7	1	30.5	26	22	23
2003	7	2	31.5	26.5	25	25.5
2003	7	3	32.5	30	25	27
2003	7	4	35	33	25	28
2003	7	5	36.5	34	27	32
2003	7	6	35.5	34	30	30
2003	7	7	36.5	34	36.5	32
2003	7	8	37.5	34	30	30
2003	7	9	33	30	24	29
2003	7	10	30	29.5	22	30
2003	7	11	31.5	29.5	22	30
2003	7	12	34.5	27.5	25	30
2003	7	13	35	34	32	31
2003	7	14	36.5	30.5	25	36
2003	7	15	31.5	29.5	26	32
2003	7	16	36	31.5	27	31
2003	7	17	37	30.5	32	32
2003	7	18	34	34	28	32
2003	7	19	32.5	34.5	25.5	33
2003	7	20	33	30	23.2	32
2003	7	21	33.5	26.6	22.5	31.5
2003	7	22	32	26	22.5	31.5
2003	7	23	30	26.5	22	31
2003	7	24	27	28.5	25	31
2003	7	25	25	24.8	22	30
2003	7	26	29.5	28	22	30
2003	7	27	30.5	28	22	30
2003	7	28	31.5	29	20	30.5
2003	7	29	32.5	30	24.4	30.5
2003	7	30	30.5	29.5	23.2	35
2003	7	31	32.5	30	26	35
2003	8	1	34.5	30.5	26	36
2003	8	2	36.5	34	24	36
2003	8	3	36	34	25	37
2003	8	4	37	34	26	37
2003	8	5	38.5	34.5	30	32
2003	8	6	36.5	33.5	30	30
2003	8	7	36	34	25	34
2003	8	8	37	34	25	36
2003	8	9	39	34.5	25	36
2003	8	10	41	38	30	38
2003	8	11	41	38	30	37
2003	8	12	40.8	42	32	35
2003	8	13	37.5	34	30	35
2003	8	14	34.5	34	25.2	40
2003	8	15	31	34	24	36
2003	8	16	31.5	30	24	36
2003	8	17	32.5	29.5	22	35
2003	8	18	35	33	22	37
2003	8	19	36	34	22	36
2003	8	20	37.5	34	23	35
2003	8	21	33.5	30	22	33
2003	8	22	33	30.5	26	36
2003	8	23	35	34.5	24	36
2003	8	24	35	34.5	25	36
2003	8	25	35.5	34.5	26	40
2003	8	26	36.5	34.5	28	35
2003	8	27	36.5	34.5	28	36
2003	8	28	38	34	27	36
2003	8	29	36	36.5	26	32
2003	8	30	36.5	34	25	37
2003	8	31	36.5	34.5	26	39
2003	9	1	35.5	34.5	26	37
2003	9	2	37.5	35.5	25	37
2003	9	3	37.5	37	25	35
2003	9	4	37.5	37.5	25	36
2003	9	5	38.5	38	29	32
2003	9	6	37.5	38	30	33
2003	9	7	35	32	22.2	34
2003	9	8	33	33.2	25	35
2003	9	9	34	29	25	36
2003	9	10	32	29.5	23	33
2003	9	11	27.5	25.5	17	30
2003	9	12	33.5	30	22.5	35
2003	9	13	34	32.5	25.5	33
2003	9	14	32.5	30	21.5	32
2003	9	15	29.2	25	19.5	32
2003	9	16	33	30.5	23	37
2003	9	17	34.5	34.5	27	37
2003	9	18	32.5	30	30.5	34
2003	9	19	32.5	30	20.2	37
2003	9	20	30	26.5	18.5	30
2003	9	21	29.5	29.5	19	27
2003	9	22	30	30	18	20.4
2003	9	23	30	30.5	23	29
2003	9	24	29.5	30	18	31
2003	9	25	28	26	16.5	29
2003	9	26	30.5	26.5	16	20
2003	9	27	32.5	30	18	23
2003	9	28	31	30.5	22	23
2003	9	29	29.5	29.5	24	23
2003	9	30	29	30.5	24	28
2003	10	1	29	30	22	23.5
2003	10	2	29.5	26.5	22	25
2003	10	3	28.5	29.5	22	23.4
2003	10	4	30.5	30	22	26
2003	10	5	27	29	19.2	23.2
2003	10	6	26.5	26	12.5	19
2003	10	7	29	30	16	22
2003	10	8	31.5	30	22	25
2003	10	9	33	34	23	25
2003	10	10	34	38.5	25	24
2003	10	11	32.5	30	23	24
2003	10	12	31	30	23	22
2003	10	13	29.5	30	18.2	29
2003	10	14	31	30	23	23
2003	10	15	29.5	30	19.5	23
2003	10	16	30.5	30	22.2	30
2003	10	17	31.5	30	22	32
2003	10	18	32	30	24	22.5
2003	10	19	32.5	30	22	25
2003	10	20	30	22.2	19.2	25
2003	10	21	24	25	22	29
2003	10	22	27	26.5	22	23.5
2003	10	23	31.5	30	17.6	29
2003	10	24	33	37	25	29
2003	10	25	37	34	25	28
2003	10	26	31.4	26.5	25	25
2003	10	27	29.5	29	22	26
2003	10	28	30.5	28	20	29
2003	10	29	35.5	34.5	20	29
2003	10	30	26.2	26	22	27
2003	10	31	26.5	26.5	20	29
2003	11	1	27.5	26.5	18	29
2003	11	2	26.5	26.5	16	16.2
2003	11	3	22.8	22	10.4	20
2003	11	4	19.5	16.5	6	25
2003	11	5	25	20.5	7	25
2003	11	6	23.5	26	10	21
2003	11	7	20.5	18.5	6.4	25
2003	11	8	20	18.5	10	20
2003	11	9	19.5	19	12	24
2003	11	10	32	30	18	22
2003	11	11	26	22	18	20
2003	11	12	27	22	15.2	20
2003	11	13	24.5	22.5	16	16
2003	11	14	21.5	19.5	9	16
2003	11	15	14.5	12.6	5.2	21
2003	11	16	16.5	17	4.4	21
2003	11	17	17.5	19.5	8	21
2003	11	18	18.5	18.5	7	27
2003	11	19	17	19	10	21
2003	11	20	16.5	16	10	25
2003	11	21	22.5	22	10	9.2
2003	11	22	17	15	3.6	21
2003	11	23	18.5	19	8	26
2003	11	24	16.5	18.5	10	25
2003	11	25	21	22	13	19
2003	11	26	21.5	18.5	14	19
2003	11	27	20.5	18.5	13	18
2003	11	28	18.5	18.6	14	20
2003	11	29	19.5	15.5	8.8	19
2003	11	30	15	12.6	8	10
2003	12	1	17.5	12	7	16
2003	12	2	16	14	6	13
2003	12	3	15	18	9	8.4
2003	12	4	16.5	13.5	6	13
2003	12	5	16	12.5	7	13
2003	12	6	15.5	18.5	8	16
2003	12	7	20.5	18.5	10	13
2003	12	8	23.5	22.5	11	15.5
2003	12	9	23.5	25	10	15
2003	12	10	16	15.2	7	14
2003	12	11	9.5	10.6	4.6	7.6
2003	12	12	11.5	10	1	5.5
2003	12	13	12	10.5	2	5
2003	12	14	15	14.5	3	4
2003	12	15	19	15	5	6
2003	12	16	22.5	18.5	8	7
2003	12	17	25	22.5	9	18
2003	12	18	24.5	28.5	10	13
2003	12	19	31	30	13	18
2003	12	20	26.2	21.4	6.8	14
2003	12	21	17	11.2	3.2	10.2
2003	12	22	16.5	14.5	6	5
2003	12	23	14.5	18.5	6	17
2003	12	24	13	12.5	6	9
2003	12	25	13	12.5	2.8	8
2003	12	26	16.5	19.5	7	12.5
2003	12	27	18	14	6	13
2003	12	28	13	13.5	3.2	8.5
2003	12	29	13	11.6	2	5.5
2003	12	30	13.5	10	2	3
2003	12	31	12.5	9.5	1	3
2004	1	1	12	14	1	8.5
2004	1	2	10.5	10	3	7.5
2004	1	3	16.5	15.5	2	8.5
2004	1	4	14.5	13	4	8.5
2004	1	5	16.5	17.5	5	10
2004	1	6	18.5	15.5	6	14
2004	1	7	20.5	19	6	13
2004	1	8	22	22.5	8	12.5
2004	1	9	18	19	10	15.5
2004	1	10	15.5	15	4.8	9
2004	1	11	16	14	8	9
2004	1	12	15.5	15	10	15
2004	1	13	12.6	11.5	10	11
2004	1	14	15	14.5	11	15
2004	1	15	21.5	22.5	10	14.5
2004	1	16	24	22	10	15
2004	1	17	22.5	21.5	8	15
2004	1	18	15	14.5	8	13
2004	1	19	12.5	11	10	7
2004	1	20	16	14.5	6	7
2004	1	21	23	19.5	5	13
2004	1	22	22.5	22	8	14.5
2004	1	23	24.5	19.5	7	13
2004	1	24	25.5	25.5	12	16
2004	1	25	25	20	10	15
2004	1	26	19.6	13.4	8	11
2004	1	27	14.5	9	5.8	5
2004	1	28	10.4	6.4	1	4
2004	1	29	16.5	10.5	1	5
2004	1	30	15	16	5	8.5
2004	1	31	15.5	14.5	8	9.5
2004	2	1	13.5	14.5	8	10.5
2004	2	2	14	10.6	6	9
2004	2	3	13.5	14.5	8	8.5
2004	2	4	15	14.5	10	11.5
2004	2	5	16	15	10	13
2004	2	6	15.5	11.5	8	17
2004	2	7	16.5	11.5	4.8	10.4
2004	2	8	18.5	18.5	7	8
2004	2	9	23	24	12	15
2004	2	10	25	26.5	14	17
2004	2	11	26.5	26.5	12	16
2004	2	12	18	20	12	13.6
2004	2	13	20	22.5	14	13
2004	2	14	21.5	26.5	16	22
2004	2	15	23	30.5	18	28
2004	2	16	24	18	12.8	17.2
2004	2	17	25.5	12	6	15.5
2004	2	18	22	14.5	3	8.5
2004	2	19	25.5	17	10	11.5
2004	2	20	25.5	14.5	6	7
2004	2	21	24	21	8	14
2004	2	22	23.5	22.5	10.5	17
2004	2	23	22.5	25.5	14	17.5
2004	2	24	20	14.5	4	7.5
2004	2	25	20	19	10	13
2004	2	26	22	18.5	12	17
2004	2	27	20.5	19	12	14.5
2004	2	28	23	26.5	14	19
2004	2	29	20.5	22.5	14	19.5
2004	3	1	21	18.5	18	22
2004	3	2	18.5	15.5	12.8	14.4
2004	3	3	21.5	14.5	14	11
2004	3	4	28	26	18	22
2004	3	5	34	24	20	26
2004	3	6	28.2	30.5	22	25
2004	3	7	20	18	12.8	20
2004	3	8	16	10.2	4.8	8
2004	3	9	15.5	9.5	40	8
2004	3	10	17	11	12	8.5
2004	3	11	15.5	10.5	20	9.5
2004	3	12	15.5	10.5	8.8	6
2004	3	13	16.5	11.6	8	8
2004	3	14	14	10	2.2	5
2004	3	15	11	5.5	0	6
2004	3	16	10.5	6	2.6	6
2004	3	17	15.5	13.5	7	8.2
2004	3	18	14	11.5	10	11
2004	3	19	14.5	11	5	8.5
2004	3	20	13.5	9	5	3.6
2004	3	21	18	15	6	10
2004	3	22	24	21.5	12	17
2004	3	23	29	26.5	18	21
2004	3	24	29.5	26	22	23
2004	3	25	26.5	26	22	22.5
2004	3	26	25	22.5	22	23
2004	3	27	24	25.5	22	23
2004	3	28	25	22	22	23
2004	3	29	25.5	25	22	23
2004	3	30	26	30	24	27
2004	3	31	24	20	18.8	25
2004	4	1	13.5	10.2	2.8	23.5
2004	4	2	22	18.5	10	22
2004	4	3	25.5	22.5	18	20
2004	4	4	16.5	15	18	10.8
2004	4	5	14	9	2.8	6
2004	4	6	14	9	7	6.5
2004	4	7	22	18	12	11.2
2004	4	8	22.5	18.5	14	16.5
2004	4	9	24.5	22.5	14	15.5
2004	4	10	26	22.5	18	20.5
2004	4	11	25.5	22.5	16	17
2004	4	12	29.5	25	15	18
2004	4	13	28.5	26.5	22	23
2004	4	14	26	26.5	20	25
2004	4	15	29.5	33	25	28
2004	4	16	26.5	21.4	17	19.2
2004	4	17	20	14.2	12.6	10.5
2004	4	18	18	14	6	10
2004	4	19	25	22	14	18.5
2004	4	20	22.5	19	18	19
2004	4	21	19	17	12.8	15
2004	4	22	27	25	22	24
2004	4	23	29	26	25	30
2004	4	24	29.5	30	22	24
2004	4	25	27.5	21	15	17
2004	4	26	26	20.5	16	17
2004	4	27	21	16.5	10	13
2004	4	28	25.5	21	14	16
2004	4	29	29	22.5	20	26
2004	4	30	29	26	22	25
2004	5	1	29.5	26.5	25	30
2004	5	2	26	22.5	22	27.5
2004	5	3	29	26.5	25	25
2004	5	4	29	26	26	32
2004	5	5	25.5	22.5	17	25
2004	5	6	22	16	10	14
2004	5	7	29.5	26.5	18	21
2004	5	8	36.5	30	22	24
2004	5	9	27	27.5	26	25
2004	5	10	36.5	25.5	25	27
2004	5	11	37	26.5	30	35
2004	5	12	32	30	25	30
2004	5	13	28	22	22.6	20.2
2004	5	14	28.5	24	18.6	16
2004	5	15	32	26.5	22	24
2004	5	16	28.5	26	19.8	23
2004	5	17	32	26.5	18	20
2004	5	18	31	26	18	23
2004	5	19	34.5	30	22	27
2004	5	20	33.5	30	22	28
2004	5	21	25	20.6	17.6	19
2004	5	22	30.5	22	16.2	19
2004	5	23	25	22	14	19
2004	5	24	26.5	22	18	17
2004	5	25	33.5	26	20	23
2004	5	26	35	30	22	26
2004	5	27	35.5	30	25	26
2004	5	28	34.5	30	26	25
2004	5	29	31.5	26	22.6	24
2004	5	30	32.5	25	18.6	20
2004	5	31	40	30	20.5	25
2004	6	1	36.5	34	26	31
