year	month	day	34.5	190	1500	1040				
2003	5	1	7	5	-3	2.5				
2003	5	2	4.5	6.2	1	1.5				
2003	5	3	5	5.5	3	1				
2003	5	4	7	7.6	6	3				
2003	5	5	9.5	9.5	8	2.5				
2003	5	6	11.5	12.5	9	3				
2003	5	7	10.5	11.5	3	2.5				
2003	5	8	7	9.5	4	2				
2003	5	9	8	8.5	5	2.5				
2003	5	10	9.5	10	4	2				
2003	5	11	11	12.5	5	3.5				
2003	5	12	9.5	13	7	4				
2003	5	13	11	12.5	7	4.5				
2003	5	14	10	13.5	10	5				
2003	5	15	11.5	13.5	10	7.5				
2003	5	16	13	15.5	12	8				
2003	5	17	12.5	16	14	9.5				
2003	5	18	13	16.5	9	8.5				
2003	5	19	11.5	15.5	12	9				
2003	5	20	12.5	15	11	7				
2003	5	21	13.5	15.5	11	9.5				
2003	5	22	12.5	16.5	11	9				
2003	5	23	14.5	17.5	11	11				
2003	5	24	12.5	13.5	11	9.5				
2003	5	25	14	13	5	7.5				
2003	5	26	11	14	6	7.5				
2003	5	27	13.5	14	6	5				
2003	5	28	13.5	15	8	9				
2003	5	29	12.5	16.5	10	10				
2003	5	30	14	18	12	10				
2003	5	31	12.5	19.5	13	15				
2003	6	1	14.5	18.5	13	13				
2003	6	2	13.5	19	12	15				
2003	6	3	12.5	18	12	14.5				
2003	6	4	14	18	10	15				
2003	6	5	13.5	19.5	12	14				
2003	6	6	12	11.5	5	11.2				
2003	6	7	10.5	10	4	9				
2003	6	8	12	12.8	6	9				
2003	6	9	13.5	15.5	7	11				
2003	6	10	15	16.5	9	12.5				
2003	6	11	12	15	8	12				
2003	6	12	15.5	16	8	8				
2003	6	13	14.5	15	9	12				
2003	6	14	13.5	18	8	12				
2003	6	15	15	18	12	12.5				
2003	6	16	14	18	12	10				
2003	6	17	14.5	18	14.3	14				
2003	6	18	15.5	17.5	12	15				
2003	6	19	14	17.5	11	12				
2003	6	20	13	17.5	11	8				
2003	6	21	16.5	17.5	11	9				
2003	6	22	17	17	12	10				
2003	6	23	19	18.5	12	15				
2003	6	24	15.5	18	12	14				
2003	6	25	13	16	8	11.5				
2003	6	26	14.5	14.5	6	10.5				
2003	6	27	15.5	16.5	9.2	12.5				
2003	6	28	17	16	12	11				
2003	6	29	17	16.5	12	10				
2003	6	30	16.5	18	10	14				
2003	7	1	19.5	17.5	10	10				
2003	7	2	16.5	18.5	10.2	15				
2003	7	3	17	18	12	13				
2003	7	4	19	19	12	12				
2003	7	5	19.5	18.5	10	10				
2003	7	6	15.5	18.5	12	11				
2003	7	7	20.5	19	12	11				
2003	7	8	18.5	20.5	12	13				
2003	7	9	17.5	21	12	11				
2003	7	10	16.5	19.5	15	10				
2003	7	11	17.5	21	14	12				
2003	7	12	18.5	21.5	13	11				
