year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2003.0	5.0	1.0	0	73.9287273782	5.60074458794	3.51657504248	2.31074371517	0.836063033623	10.11	15.7107445879	
2003.0	5.0	2.0	0	73.7081268723	4.48059567035	5.14480754981	0	0	9.6045	14.0850956704	
2003.0	5.0	3.0	0	73.4852952165	3.58447653628	5.48555120431	0	0	9.124275	12.7087515363	
2003.0	5.0	4.0	0	73.2603358092	2.86758122903	6.35873192966	0	0	8.66806125	11.5356424790	
2003.0	5.0	5.0	0	73.0333519423	2.29406498322	6.78485245924	0	0	8.2346581875	10.5287231707	
2003.0	5.0	6.0	0	72.8044467203	1.83525198658	6.50093486728	0	0	7.82292527813	9.65817726470	
2003.0	5.0	7.0	0	72.5737229819	1.46820158926	4.83253309430	0	0	7.43177901422	8.89998060348	
2003.0	5.0	8.0	0	72.3412832227	3.00717205362	4.84070909054	4.24711497677	1.29107006981	7.38491245327	10.3920845069	
2003.0	5.0	9.0	0	72.1072295201	2.74368015902	5.73990127249	3.56695809670	0	7.01566683061	9.75934698963	
2003.0	5.0	10.0	0	71.8716634599	2.19494412722	6.36758407482	0	0	6.66488348908	8.85982761630	
2003.0	5.0	11.0	0	71.6346860656	1.75595530178	6.22729731839	0	0	6.33163931462	8.08759461640	
2003.0	5.0	12.0	0	71.3963977287	1.40476424142	6.48744255820	0	0	6.01505734889	7.41982159031	
2003.0	5.0	13.0	0	71.1568981418	1.12381139314	7.05855834746	0	0	5.71430448145	6.83811587458	
2003.0	5.0	14.0	0	70.9162862337	0.899049114509	7.58309038595	0	0	5.42858925738	6.32763837188	
2003.0	5.0	15.0	0	70.6746601070	0.719239291607	7.68198931637	0	0	5.15715979451	5.87639908611	
2003.0	5.0	16.0	0	70.4321169772	0.575391433286	8.50902526433	0	0	4.89930180478	5.47469323807	
2003.0	5.0	17.0	0	70.1887531149	0.460313146629	8.32231732884	0	0	4.65433671454	5.11464986117	
2003.0	5.0	18.0	0	69.9446637899	0.368250517303	7.60584892043	0	0	4.42161987881	4.78987039612	
2003.0	5.0	19.0	0	69.6999432180	0.294600413842	7.83834699028	0	0	4.20053888487	4.49513929872	
2003.0	5.0	20.0	0	69.4546845096	0.235680331074	8.07313771034	0	0	3.99051194063	4.22619227170	
