year	month	day	34.5	190	1500	280	1000				
2003	5	1	4	13	0	9	1				
2003	5	2	0	0	0	0	0				
2003	5	3	0	0	0	0	0				
2003	5	4	0	0	0	0	0				
2003	5	5	0	0	0	0	0				
2003	5	6	0	0	0	0	0				
2003	5	7	0	0	0	0	0				
2003	5	8	12.5	11	4.5	12.5	0				
2003	5	9	1	10	0	6	0				
2003	5	10	0	0	0	0	0				
2003	5	11	0	0	0	0	0				
2003	5	12	0	0	0	0	0				
2003	5	13	0	0	0	0	0				
2003	5	14	0	0	0	0	0				
2003	5	15	0	0	0	0	0				
2003	5	16	0	0	0	0	0				
2003	5	17	0	0	0	0	0				
2003	5	18	0	0	0	0	0				
2003	5	19	0	0	0	0	0				
2003	5	20	0	0	0	0	0				
2003	5	21	0	0	0	0	0				
2003	5	22	0	0	0	0	0				
2003	5	23	0	0	0.5	1	0				
2003	5	24	39	21	41	47.5	21				
2003	5	25	7	6	21	10	0				
2003	5	26	0	0	0	0	0				
2003	5	27	0	0	0	0	0				
2003	5	28	0	0	0	0	0				
2003	5	29	0	0	0	0	0				
2003	5	30	0	0	0	0	0				
2003	5	31	0	0	0	0	0				
2003	6	1	0	0	0	0	0				
2003	6	2	1.5	0	9	0	7				
2003	6	3	0	0	0	0	0				
2003	6	4	0	0	0	0	0				
2003	6	5	0	0	0	0	0				
2003	6	6	2	19	2	26	0				
2003	6	7	0	0	0	0	0				
2003	6	8	0	0	0	0	0				
2003	6	9	0	0	0	0	0				
2003	6	10	0	0	0	0	0				
2003	6	11	0	0	0	0	0				
2003	6	12	0	0	0	0	0				
2003	6	13	0.5	0	0	0	0				
2003	6	14	0	0	0	0	0				
2003	6	15	0.5	0	2.5	0	1				
2003	6	16	0	0	0.5	0	0				
2003	6	17	0	0	0	0	0				
2003	6	18	0	0	0	0	0				
2003	6	19	0	10	1	16	0				
2003	6	20	0	3.5	1	5	0				
2003	6	21	0	0	0	0	0				
2003	6	22	0	0	0	0	0				
2003	6	23	0	3.5	0	0	0				
2003	6	24	1	0	0	3	0				
2003	6	25	3.5	10	4	22	0				
2003	6	26	0	0	1.5	0	0				
2003	6	27	0	0	0	0	0				
2003	6	28	0.5	0	0	0	0				
2003	6	29	0	0	0	0	0				
2003	6	30	0	3	0	2	0				
2003	7	1	0	0	0	1.5	0				
2003	7	2	0	1.5	0	1.5	0				
2003	7	3	0	0	0	0	0				
2003	7	4	0	0	0	0	0				
2003	7	5	0	0	0	0	0				
2003	7	6	0	0	0	0	0				
2003	7	7	0	0	0	0	0				
2003	7	8	0	0	0	0	0				
2003	7	9	0	0	0	0	0				
2003	7	10	0	4.5	0	0	0				
2003	7	11	0	0	0	0	0				
2003	7	12	0	0	0	0	0				
2003	7	13	0	0	0	0	0				
