year	month	day	araz_Q_Obs				
2003	5	1	33.7				
2003	5	2	27.8				
2003	5	3	27.2				
2003	5	4	17.4				
2003	5	5	10.6				
2003	5	6	9.43				
2003	5	7	8.69				
2003	5	8	8.76				
2003	5	9	22.2				
2003	5	10	12.2				
2003	5	11	9.23				
2003	5	12	8.11				
2003	5	13	6.99				
2003	5	14	6.41				
2003	5	15	5.84				
2003	5	16	5.74				
2003	5	17	4.66				
2003	5	18	4.26				
2003	5	19	4.08				
2003	5	20	3.91				
2003	5	21	3.63				
2003	5	22	3.12				
2003	5	23	3.12				
2003	5	24	14.7				
2003	5	25	96.4				
2003	5	26	29.5				
2003	5	27	22.2				
2003	5	28	13.3				
2003	5	29	7.29				
2003	5	30	5.34				
2003	5	31	4.79				
2003	6	1	4.21				
2003	6	2	4.05				
2003	6	3	3.71				
2003	6	4	3.12				
2003	6	5	2.83				
2003	6	6	5.45				
2003	6	7	5.55				
2003	6	8	2.54				
2003	6	9	1.89				
2003	6	10	1.74				
2003	6	11	1.4				
2003	6	12	1.12				
2003	6	13	0.938				
2003	6	14	0.828				
2003	6	15	0.939				
2003	6	16	0.893				
2003	6	17	0.687				
2003	6	18	0.574				
2003	6	19	0.538				
2003	6	20	2.22				
2003	6	21	1.7				
2003	6	22	0.982				
2003	6	23	0.808				
2003	6	24	0.687				
2003	6	25	18.8				
2003	6	26	14.1				
2003	6	27	2.89				
2003	6	28	1.01				
2003	6	29	0.747				
2003	6	30	0.471				
2003	7	1	0.407				
2003	7	2	0.407				
2003	7	3	0.376				
2003	7	4	0.285				
2003	7	5	0.089				
2003	7	6	0.081				
2003	7	7	0.081				
2003	7	8	0.081				
2003	7	9	0.081				
2003	7	10	0.081				
2003	7	11	0.081				
2003	7	12	0.066				
2003	7	13	0.066				
2003	7	14	0.066				
2003	7	15	0.054				
2003	7	16	0.041				
2003	7	17	0.03				
2003	7	18	0.025				
2003	7	19	0.021				
2003	7	20	0.021				
2003	7	21	0.021				
2003	7	22	0.014				
2003	7	23	0.008				
2003	7	24	0.083				
2003	7	25	0.943				
2003	7	26	4.13				
2003	7	27	2.22				
2003	7	28	1.35				
2003	7	29	1.12				
2003	7	30	0.915				
2003	7	31	0.726				
2003	8	1	0.592				
2003	8	2	0.401				
2003	8	3	0.194				
2003	8	4	0.115				
2003	8	5	0.089				
2003	8	6	0.066				
2003	8	7	0.053				
2003	8	8	0.053				
2003	8	9	0.053				
2003	8	10	0.066				
2003	8	11	0.066				
2003	8	12	0.066				
2003	8	13	0.066				
2003	8	14	0.066				
2003	8	15	0.073				
2003	8	16	0.123				
2003	8	17	0.066				
2003	8	18	0.066				
2003	8	19	0.066				
