year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2010.0	9.0	23.0	0	51.0203973244	0.0	6.85198085946	0	0	0.1083	0.1083	
2010.0	9.0	24.0	0	51.0174911495	0.0	5.69160148408	0	0	0.102885	0.102885	
2010.0	9.0	25.0	0	51.0168838338	0.0	5.31911228199	0	0	0.09774075	0.09774075	
2010.0	9.0	26.0	0	51.0185753238	0.0	6.47000945531	0	0	0.0928537125	0.0928537125	
2010.0	9.0	27.0	0	51.0225657683	0.0	4.97357424557	1.69220618428	0	0.088211026875	0.088211026875	
2010.0	9.0	28.0	0	51.0288555183	0.0	5.51864158096	0	0	0.0838004755313	0.0838004755313	
2010.0	9.0	29.0	0	51.0374451261	0.0	6.01997139339	0	0	0.0796104517547	0.0796104517547	
2010.0	9.0	30.0	0	51.0483353443	0.0	6.65630056129	0	0	0.075629929167	0.075629929167	
2010.0	10.0	1.0	0	51.0615271241	0.0	6.71384353463	0	0	0.0718484327086	0.0718484327086	
2010.0	10.0	2.0	0	51.0770216134	0.0	5.230288348	2.47644104754	0	0.0682560110732	0.0682560110732	
2010.0	10.0	3.0	0	51.0948201548	0.0	6.31124278448	0	0	0.0648432105195	0.0648432105195	
2010.0	10.0	4.0	0	51.1149242823	0.0	5.06737154597	0	0	0.0616010499935	0.0616010499935	
2010.0	10.0	5.0	0	51.1373357186	0.0	4.98787820005	0.920316944042	0	0.0585209974939	0.0585209974939	
2010.0	10.0	6.0	0	51.1620563710	0.0	4.30432976532	2.66020089392	0	0.0555949476192	0.0555949476192	
2010.0	10.0	7.0	0	51.1890883280	0.016231916927	3.27516069507	2.26037937205	0.251761137947	0.109141406328	0.125373323255	
2010.0	10.0	8.0	0	51.2184338544	0.0129855335416	4.32121450218	0	0	0.103684336012	0.116669869554	
2010.0	10.0	9.0	0	51.2500953866	0.0103884268333	5.27108787030	0	0	0.0985001192113	0.108888546045	
2010.0	10.0	10.0	0	51.2840755276	0.00831074146662	4.84037573086	0	0	0.0935751132508	0.101885854717	
2010.0	10.0	11.0	0	51.3203770406	0.00664859317329	4.81154755376	2.89956199872	0	0.0888963575882	0.0955449507615	
2010.0	10.0	12.0	0	51.3590028438	4.06802327778	3.62823480531	3.47111928494	11.1710514190	2.52061965542	6.58864293320	
2010.0	10.0	13.0	0	51.3999560030	3.25441862222	4.06264160117	0	0	2.39458867265	5.64900729487	
2010.0	10.0	14.0	0	51.4432397254	2.60353489778	4.16118658171	0	0	2.27485923901	4.87839413679	
2010.0	10.0	15.0	0	51.4888573513	2.08282791822	5.12887742128	0	0	2.16111627706	4.24394419529	
2010.0	10.0	16.0	0	51.5368123470	1.66626233458	5.38601256939	0	0	2.05306046321	3.71932279779	
2010.0	10.0	17.0	0	51.5871082961	1.33300986766	5.41917025377	0	0	1.95040744005	3.28341730771	
2010.0	10.0	18.0	0	51.6397488909	1.06640789413	4.26005552548	0	0	1.85288706805	2.91929496218	
2010.0	10.0	19.0	0	51.6947379230	0.853126315304	3.40680853013	0.547900353688	0	1.76024271464	2.61336902995	
2010.0	10.0	20.0	0	51.7520792741	0.682501052243	4.13571034274	0	0	1.67223057891	2.35473163116	
2010.0	10.0	21.0	0	51.8117769052	0.546000841795	4.70548627794	0	0	1.58861904997	2.13461989176	
2010.0	10.0	22.0	0	51.8738348466	0.436800673436	4.34898138348	0	0	1.50918809747	1.94598877090	
2010.0	10.0	23.0	0	51.9382571867	0.349440538749	3.18537480412	0	0	1.43372869259	1.78316923134	
2010.0	10.0	24.0	0	52.0050480605	0.279552430999	3.18885856352	0.259232775396	0	1.36204225797	1.64159468896	
2010.0	10.0	25.0	0	52.0742116376	0.223641944799	2.13802904790	1.69161097896	0.122027405367	1.32124118461	1.54488312941	
2010.0	10.0	26.0	0	52.1457521097	0.178913555839	3.00324721569	0	0	1.25517912538	1.43409268122	
2010.0	10.0	27.0	0	52.2196736780	0.143192919869	2.76434743214	2.22240622157	0.0423524066586	1.19789955431	1.34109247418	
2010.0	10.0	28.0	0	52.2959805395	0.116182523983	2.23999605983	1.94191147802	0.124477991467	1.15450851681	1.27069104079	
2010.0	10.0	29.0	0	52.3746768734	0.0929460191864	3.37720803525	0	0	1.09678309097	1.18972911015	
2010.0	10.0	30.0	0	52.4557668264	0.0743568153492	4.04072704333	0	0	1.04194393642	1.11630075177	
2010.0	10.0	31.0	0	52.5392544984	0.0594854522793	3.16016055812	0	0	0.989846739596	1.04933219188	
2010.0	11.0	1.0	0	52.6251439268	0.170673206013	2.57423436546	1.89265205921	1.20374265521	1.25435435401	1.42502756003	
2010.0	11.0	2.0	0	52.7134390708	0.13673201927	1.32163058356	1.01943739675	0.454555319455	1.26056509508	1.39729711435	
2010.0	11.0	3.0	0	52.8041437951	0.109385615416	2.01783299930	0	0	1.19753684033	1.30692245574	
2010.0	11.0	4.0	0.373225403002	52.8972618534	0.0875084923331	2.54002322137	0.29697510902	0.0762396273375	1.14074598783	1.22825448016	
2010.0	11.0	5.0	0.0150458588105	52.9927968708	0.0700067938665	2.84620836444	0.134261613471	0	1.08370868844	1.15371548230	
